ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,anomaly,anomaly_score
19.981745,6,199,43,53,2,0.136721,34,50,4,1,82,1,98,0,-0.29253500255088283
20.119134,6,524,43,53,2,0.008221,34,62,4,1,82,1,110,0,-0.2807836573050786
32.990827,10,189,48,5355,2,0.123889,44,0,3,2,140,0,0,0,-0.11779781325188154
32.990991,2,454,20,5355,2,0.123763,44,0,3,2,100,0,0,0,-0.11931836366494752
33.368054,2,8,14,137,2,1.502603,150,0,3,3,234,0,0,0,-0.13538363520475372
50.751677,10,319,48,5355,2,0.091234,58,0,3,2,154,0,0,0,-0.12025237880085071
50.751867,2,520,20,5355,2,0.09116,58,0,3,2,114,0,0,0,-0.10544585841613918
50.780009,10,55,48,5355,2,0.093536,52,0,3,2,148,0,0,0,-0.12120156781585434
50.780151,2,144,20,5355,2,0.093559,52,0,3,2,108,0,0,0,-0.12269608821544276
50.781154,10,161,48,5355,2,0.093908,58,0,3,2,154,0,0,0,-0.11499296375253809
50.78132,2,197,20,5355,2,0.093968,58,0,3,2,114,0,0,0,-0.12045299048781066
51.047127,2,8,14,137,2,1.523569,450,0,3,9,702,0,0,0,-0.08062177920846503
15.230937,0,6,56,136,0,0.000075,32,0,0,2,128,0,0,0,-0.19230812815209086
15.231084,1,6,55,136,0,0,0,0,0,1,64,0,0,0,-0.22999487442964506
15.231147,1,6,50,136,0,1.992389,32,0,0,2,128,0,0,0,-0.20264843886138856
15.231215,12,4,58,134,0,8.020694,24,0,0,3,168,0,0,0,-0.18702058678884192
15.231308,12,2,56,130,0,5.527026,48,0,0,3,216,0,0,0,-0.1882023106440499
15.231389,12,2,55,130,0,11.525402,48,0,0,3,216,0,0,0,-0.1879613262340839
15.231463,12,2,50,130,0,7.519872,80,0,0,5,360,0,0,0,-0.16159588732498154
15.232693,11,5,45,133,0,8.020843,408,0,0,3,552,0,0,0,-0.17019238594119657
15.941946,12,155,47,547,2,1.16135,310,0,3,3,454,0,0,0,-0.12231516101747142
15.943102,11,158,45,546,2,1.161349,375,0,3,3,519,0,0,0,-0.127937498608515
15.944654,12,3,58,0,0,0,0,0,0,1,72,0,0,0,-0.22834639193306733
15.944814,11,1,46,131,0,2.000058,32,0,0,2,144,0,0,0,-0.22387175314443875
18.396508,10,2,53,130,0,0,0,0,0,1,72,0,0,0,-0.29805004989674505
19.981242,6,6,49,136,0,0,0,0,0,1,72,0,0,0,-0.26101185210225136
19.981543,8,7,42,135,0,0,0,0,0,1,72,0,0,0,-0.25459566142333556
20.248885,11,6,45,136,0,0.000225,24,24,0,1,72,1,72,0,-0.21697754881111525
21.401217,10,2,54,130,0,0,0,0,0,1,72,0,0,0,-0.2985401225553107
